"","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"00-04",1.89887640449438,0.808988764044944,0.337078651685393,0.415730337078652,0.561797752808989,0.617977528089888,1.20224719101124,0.865168539325843,0.49438202247191,0.404494382022472,0.382022471910112,0.258426966292135,0.269662921348315,0.191011235955056,0.337078651685393
"05-09",0.358695652173913,2.25,0.608695652173913,0.423913043478261,0.239130434782609,0.434782608695652,0.66304347826087,0.771739130434783,0.717391304347826,0.380434782608696,0.228260869565217,0.260869565217391,0.217391304347826,0.184782608695652,0.152173913043478
"10-14",0.0909090909090909,0.345454545454545,3.58181818181818,0.927272727272727,0.254545454545455,0.245454545454545,0.336363636363636,0.654545454545455,0.972727272727273,0.436363636363636,0.372727272727273,0.154545454545455,0.190909090909091,0.190909090909091,0.236363636363636
"15-19",0.0413223140495868,0.181818181818182,0.694214876033058,4.1900826446281,1.28925619834711,0.363636363636364,0.223140495867769,0.59504132231405,0.685950413223141,0.677685950413223,0.388429752066116,0.264462809917355,0.115702479338843,0.148760330578512,0.132231404958678
"20-24",0.0769230769230769,0.0256410256410256,0.11965811965812,0.897435897435897,2.58974358974359,1.13675213675214,0.452991452991453,0.452991452991453,0.47008547008547,0.632478632478632,0.41025641025641,0.264957264957265,0.111111111111111,0.0769230769230769,0.188034188034188
"25-29",0.266666666666667,0.173333333333333,0.16,0.28,1.42666666666667,1.78666666666667,1.09333333333333,0.773333333333333,0.6,0.773333333333333,0.586666666666667,0.586666666666667,0.493333333333333,0.226666666666667,0.24
"30-34",0.456140350877193,0.263157894736842,0.140350877192982,0.192982456140351,0.43859649122807,0.982456140350877,1.49122807017544,1.17543859649123,0.982456140350877,0.315789473684211,0.666666666666667,0.350877192982456,0.421052631578947,0.192982456140351,0.210526315789474
"35-39",0.202898550724638,0.492753623188406,0.623188405797101,0.463768115942029,0.217391304347826,0.304347826086957,0.739130434782609,1.43478260869565,1.02898550724638,0.594202898550725,0.36231884057971,0.27536231884058,0.36231884057971,0.304347826086957,0.217391304347826
"40-44",0.195402298850575,0.229885057471264,0.666666666666667,1.11494252873563,0.574712643678161,0.379310344827586,0.574712643678161,0.954022988505747,1.22988505747126,0.931034482758621,0.471264367816092,0.218390804597701,0.32183908045977,0.195402298850575,0.390804597701149
"45-49",0.0851063829787234,0.0851063829787234,0.351063829787234,1.21276595744681,0.446808510638298,0.574468085106383,0.585106382978723,0.702127659574468,1.0531914893617,1.23404255319149,0.819148936170213,0.414893617021277,0.276595744680851,0.148936170212766,0.24468085106383
"50-54",0.188888888888889,0.2,0.155555555555556,0.266666666666667,0.466666666666667,0.6,0.544444444444444,0.577777777777778,0.711111111111111,0.988888888888889,1.17777777777778,0.788888888888889,0.422222222222222,0.177777777777778,0.255555555555556
"55-59",0.0657894736842105,0.105263157894737,0.0657894736842105,0.263157894736842,0.328947368421053,0.447368421052632,0.605263157894737,0.565789473684211,0.592105263157895,0.618421052631579,0.789473684210526,1.11842105263158,0.539473684210526,0.302631578947368,0.315789473684211
"60-64",0.0952380952380952,0.142857142857143,0.0714285714285714,0.107142857142857,0.19047619047619,0.321428571428571,0.30952380952381,0.357142857142857,0.488095238095238,0.44047619047619,0.404761904761905,0.75,0.845238095238095,0.523809523809524,0.357142857142857
"65-69",0.027027027027027,0.108108108108108,0.175675675675676,0.148648648648649,0.148648648648649,0.189189189189189,0.324324324324324,0.418918918918919,0.621621621621622,0.378378378378378,0.445945945945946,0.351351351351351,0.797297297297297,0.905405405405405,0.756756756756757
"70+",0.0833333333333333,0.166666666666667,0.05,0.133333333333333,0.0666666666666667,0.183333333333333,0.316666666666667,0.383333333333333,0.266666666666667,0.216666666666667,0.316666666666667,0.216666666666667,0.516666666666667,0.6,1.06666666666667
