time;AT_cases;AT_hospitalised;AT_icu;AT_cases_real;AT_cases_forecast1;AT_cases_forecast2;rate_factors_base;ratioBA4;rate_factors_forecast1;ratioBA5;rate_factors_forecast2
2021-03-01;2169;1073;296;2169;2169;2169;1;0;1;0;1
2021-03-02;2439;1124;301;2439;2439;2439;1;0;1;0;1
2021-03-03;2383;1097;313;2383;2383;2383;1;0;1;0;1
2021-03-04;2342;1142;302;2342;2342;2342;1;0;1;0;1
2021-03-05;2742;1114;325;2742;2742;2742;1;0;1;0;1
2021-03-06;2237;1138;316;2237;2237;2237;1;0;1;0;1
2021-03-07;1944;1155;317;1944;1944;1944;1;0;1;0;1
2021-03-08;2502;1226;333;2502;2502;2502;1;0;1;0;1
2021-03-09;2395;1287;329;2395;2395;2395;1;0;1;0;1
2021-03-10;2856;1273;324;2856;2856;2856;1;0;1;0;1
2021-03-11;3040;1242;342;3040;3040;3040;1;0;1;0;1
2021-03-12;3006;1269;346;3006;3006;3006;1;0;1;0;1
2021-03-13;2523;1285;356;2523;2523;2523;1;0;1;0;1
2021-03-14;1906;1322;352;1906;1906;1906;1;0;1;0;1
2021-03-15;2747;1406;373;2747;2747;2747;1;0;1;0;1
2021-03-16;2852;1438;395;2852;2852;2852;1;0;1;0;1
2021-03-17;3509;1449;396;3509;3509;3509;1;0;1;0;1
2021-03-18;3209;1451;388;3209;3209;3209;1;0;1;0;1
2021-03-19;3634;1462;400;3634;3634;3634;1;0;1;0;1
2021-03-20;2685;1438;393;2685;2685;2685;1;0;1;0;1
2021-03-21;2429;1495;416;2429;2429;2429;1;0;1;0;1
2021-03-22;3008;1573;436;3008;3008;3008;1;0;1;0;1
2021-03-23;3521;1614;438;3521;3521;3521;1;0;1;0;1
2021-03-24;3424;1635;450;3424;3424;3424;1;0;1;0;1
2021-03-25;3197;1641;455;3197;3197;3197;1;0;1;0;1
2021-03-26;3280;1693;471;3280;3280;3280;1;0;1;0;1
2021-03-27;2636;1651;508;2636;2636;2636;1;0;1;0;1
2021-03-28;3227;1636;518;3227;3227;3227;1;0;1;0;1
2021-03-29;2780;1710;537;2780;2780;2780;1;0;1;0;1
2021-03-30;3116;1770;538;3116;3116;3116;1;0;1;0;1
2021-03-31;3375;1787;531;3375;3375;3375;1;0;1;0;1
2021-04-01;3074;1765;534;3074;3074;3074;1;0;1;0;1
2021-04-02;3293;1753;537;3293;3293;3293;1;0;1;0;1
2021-04-03;2812;1655;533;2812;2812;2812;1;0;1;0;1
2021-04-04;2325;1671;562;2325;2325;2325;1;0;1;0;1
2021-04-05;2003;1771;570;2003;2003;2003;1;0;1;0;1
2021-04-06;2828;1854;583;2828;2828;2828;1;0;1;0;1
2021-04-07;2845;1877;583;2845;2845;2845;1;0;1;0;1
2021-04-08;2480;1807;579;2480;2480;2480;1;0;1;0;1
2021-04-09;3437;1802;582;3437;3437;3437;1;0;1;0;1
2021-04-10;1958;1734;584;1958;1958;1958;1;0;1;0;1
2021-04-11;2051;1705;599;2051;2051;2051;1;0;1;0;1
2021-04-12;2222;1799;615;2222;2222;2222;1;0;1;0;1
2021-04-13;3160;1752;596;3160;3160;3160;1;0;1;0;1
2021-04-14;2713;1687;589;2713;2713;2713;1;0;1;0;1
2021-04-15;2330;1586;571;2330;2330;2330;1;0;1;0;1
