date;region;cases
2020-02-26;AT-1;0
2020-02-26;AT-2;0
2020-02-26;AT-3;0
2020-02-26;AT-4;0
2020-02-26;AT-5;0
2020-02-26;AT-6;0
2020-02-26;AT-7;0
2020-02-26;AT-8;0
2020-02-26;AT-9;1
2020-02-27;AT-1;0
2020-02-27;AT-2;0
2020-02-27;AT-3;0
2020-02-27;AT-4;0
2020-02-27;AT-5;0
2020-02-27;AT-6;0
2020-02-27;AT-7;0
2020-02-27;AT-8;0
2020-02-27;AT-9;2
2020-02-28;AT-1;0
2020-02-28;AT-2;0
2020-02-28;AT-3;2
2020-02-28;AT-4;0
2020-02-28;AT-5;0
2020-02-28;AT-6;1
2020-02-28;AT-7;0
2020-02-28;AT-8;0
2020-02-28;AT-9;1
2020-02-29;AT-1;0
2020-02-29;AT-2;0
2020-02-29;AT-3;0
2020-02-29;AT-4;0
2020-02-29;AT-5;0
2020-02-29;AT-6;0
2020-02-29;AT-7;0
2020-02-29;AT-8;0
2020-02-29;AT-9;1
2020-03-01;AT-1;0
2020-03-01;AT-2;0
2020-03-01;AT-3;0
2020-03-01;AT-4;0
2020-03-01;AT-5;0
2020-03-01;AT-6;0
2020-03-01;AT-7;0
2020-03-01;AT-8;0
2020-03-01;AT-9;4
2020-03-02;AT-1;0
2020-03-02;AT-2;0
2020-03-02;AT-3;1
2020-03-02;AT-4;0
2020-03-02;AT-5;1
2020-03-02;AT-6;2
2020-03-02;AT-7;0
2020-03-02;AT-8;0
2020-03-02;AT-9;1
2020-03-03;AT-1;0
2020-03-03;AT-2;0
2020-03-03;AT-3;2
2020-03-03;AT-4;0
2020-03-03;AT-5;0
2020-03-03;AT-6;0
2020-03-03;AT-7;0
2020-03-03;AT-8;0
2020-03-03;AT-9;4
2020-03-04;AT-1;0
2020-03-04;AT-2;1
2020-03-04;AT-3;7
2020-03-04;AT-4;0
2020-03-04;AT-5;1
2020-03-04;AT-6;1
2020-03-04;AT-7;2
2020-03-04;AT-8;0
2020-03-04;AT-9;2
2020-03-05;AT-1;0
2020-03-05;AT-2;1
2020-03-05;AT-3;3
2020-03-05;AT-4;0
2020-03-05;AT-5;1
2020-03-05;AT-6;0
2020-03-05;AT-7;2
2020-03-05;AT-8;1
2020-03-05;AT-9;1
2020-03-06;AT-1;4
2020-03-06;AT-2;0
2020-03-06;AT-3;9
2020-03-06;AT-4;1
2020-03-06;AT-5;0
2020-03-06;AT-6;2
2020-03-06;AT-7;3
2020-03-06;AT-8;2
2020-03-06;AT-9;8
2020-03-07;AT-1;0
2020-03-07;AT-2;1
2020-03-07;AT-3;7
2020-03-07;AT-4;6
2020-03-07;AT-5;2
2020-03-07;AT-6;2
2020-03-07;AT-7;1
2020-03-07;AT-8;0
2020-03-07;AT-9;4
2020-03-08;AT-1;0
2020-03-08;AT-2;0
2020-03-08;AT-3;5
2020-03-08;AT-4;4
2020-03-08;AT-5;1
2020-03-08;AT-6;3
2020-03-08;AT-7;13
2020-03-08;AT-8;1
2020-03-08;AT-9;1
2020-03-09;AT-1;0
2020-03-09;AT-2;0
2020-03-09;AT-3;3
2020-03-09;AT-4;3
2020-03-09;AT-5;3
2020-03-09;AT-6;7
2020-03-09;AT-7;2
2020-03-09;AT-8;1
2020-03-09;AT-9;3
2020-03-10;AT-1;0
2020-03-10;AT-2;0
2020-03-10;AT-3;6
2020-03-10;AT-4;16
2020-03-10;AT-5;2
2020-03-10;AT-6;1
2020-03-10;AT-7;12
2020-03-10;AT-8;9
2020-03-10;AT-9;9
2020-03-11;AT-1;2
2020-03-11;AT-2;2
2020-03-11;AT-3;8
2020-03-11;AT-4;27
2020-03-11;AT-5;1
2020-03-11;AT-6;9
2020-03-11;AT-7;36
2020-03-11;AT-8;3
2020-03-11;AT-9;20
2020-03-12;AT-1;2
2020-03-12;AT-2;2
2020-03-12;AT-3;4
2020-03-12;AT-4;16
2020-03-12;AT-5;8
2020-03-12;AT-6;13
2020-03-12;AT-7;46
2020-03-12;AT-8;2
2020-03-12;AT-9;3
2020-03-13;AT-1;3
2020-03-13;AT-2;0
2020-03-13;AT-3;25
2020-03-13;AT-4;34
2020-03-13;AT-5;3
2020-03-13;AT-6;24
2020-03-13;AT-7;68
2020-03-13;AT-8;9
2020-03-13;AT-9;15
2020-03-14;AT-1;1
2020-03-14;AT-2;2
2020-03-14;AT-3;30
2020-03-14;AT-4;50
2020-03-14;AT-5;16
2020-03-14;AT-6;19
2020-03-14;AT-7;25
2020-03-14;AT-8;25
2020-03-14;AT-9;15
2020-03-15;AT-1;0
2020-03-15;AT-2;2
2020-03-15;AT-3;41
2020-03-15;AT-4;46
2020-03-15;AT-5;14
2020-03-15;AT-6;24
2020-03-15;AT-7;7
2020-03-15;AT-8;6
2020-03-15;AT-9;30
2020-03-16;AT-1;0
2020-03-16;AT-2;9
2020-03-16;AT-3;3
2020-03-16;AT-4;12
2020-03-16;AT-5;0
2020-03-16;AT-6;5
2020-03-16;AT-7;2
2020-03-16;AT-8;3
2020-03-16;AT-9;1
2020-03-17;AT-1;0
2020-03-17;AT-2;4
2020-03-17;AT-3;21
2020-03-17;AT-4;5
2020-03-17;AT-5;0
2020-03-17;AT-6;0
2020-03-17;AT-7;3
2020-03-17;AT-8;5
2020-03-17;AT-9;2
2020-03-18;AT-1;0
2020-03-18;AT-2;2
2020-03-18;AT-3;7
2020-03-18;AT-4;2
2020-03-18;AT-5;1
2020-03-18;AT-6;6
2020-03-18;AT-7;8
2020-03-18;AT-8;1
2020-03-18;AT-9;2
2020-03-19;AT-1;1
2020-03-19;AT-2;3
2020-03-19;AT-3;4
2020-03-19;AT-4;2
2020-03-19;AT-5;0
2020-03-19;AT-6;5
2020-03-19;AT-7;14
2020-03-19;AT-8;2
2020-03-19;AT-9;3
2020-03-20;AT-1;0
