date;region;shotNo;doses
2020-12-27;AT-1;1;95
2020-12-27;AT-1;2;0
2020-12-27;AT-1;3;0
2020-12-27;AT-1;4;0
2020-12-27;AT-2;1;0
2020-12-27;AT-2;2;0
2020-12-27;AT-2;3;0
2020-12-27;AT-2;4;0
2020-12-27;AT-3;1;200
2020-12-27;AT-3;2;0
2020-12-27;AT-3;3;0
2020-12-27;AT-3;4;0
2020-12-27;AT-4;1;16
2020-12-27;AT-4;2;0
2020-12-27;AT-4;3;0
2020-12-27;AT-4;4;0
2020-12-27;AT-5;1;87
2020-12-27;AT-5;2;0
2020-12-27;AT-5;3;0
2020-12-27;AT-5;4;0
2020-12-27;AT-6;1;14
2020-12-27;AT-6;2;0
2020-12-27;AT-6;3;0
2020-12-27;AT-6;4;0
2020-12-27;AT-7;1;15
2020-12-27;AT-7;2;0
2020-12-27;AT-7;3;0
2020-12-27;AT-7;4;0
2020-12-27;AT-8;1;279
2020-12-27;AT-8;2;0
2020-12-27;AT-8;3;0
2020-12-27;AT-8;4;0
2020-12-27;AT-9;1;52
2020-12-27;AT-9;2;0
2020-12-27;AT-9;3;0
2020-12-27;AT-9;4;0
2020-12-28;AT-1;1;35
2020-12-28;AT-1;2;0
2020-12-28;AT-1;3;0
2020-12-28;AT-1;4;0
2020-12-28;AT-2;1;3
2020-12-28;AT-2;2;0
2020-12-28;AT-2;3;0
2020-12-28;AT-2;4;0
2020-12-28;AT-3;1;719
2020-12-28;AT-3;2;0
2020-12-28;AT-3;3;0
2020-12-28;AT-3;4;0
2020-12-28;AT-4;1;5
2020-12-28;AT-4;2;0
2020-12-28;AT-4;3;0
2020-12-28;AT-4;4;0
2020-12-28;AT-5;1;3
2020-12-28;AT-5;2;0
2020-12-28;AT-5;3;0
2020-12-28;AT-5;4;0
2020-12-28;AT-6;1;9
2020-12-28;AT-6;2;0
2020-12-28;AT-6;3;0
2020-12-28;AT-6;4;0
2020-12-28;AT-7;1;83
2020-12-28;AT-7;2;0
2020-12-28;AT-7;3;0
2020-12-28;AT-7;4;0
2020-12-28;AT-8;1;2
2020-12-28;AT-8;2;0
2020-12-28;AT-8;3;0
2020-12-28;AT-8;4;0
2020-12-28;AT-9;1;475
2020-12-28;AT-9;2;0
2020-12-28;AT-9;3;0
2020-12-28;AT-9;4;0
2020-12-29;AT-1;1;19
2020-12-29;AT-1;2;0
2020-12-29;AT-1;3;0
2020-12-29;AT-1;4;0
2020-12-29;AT-2;1;2
2020-12-29;AT-2;2;0
2020-12-29;AT-2;3;0
2020-12-29;AT-2;4;0
2020-12-29;AT-3;1;865
2020-12-29;AT-3;2;0
2020-12-29;AT-3;3;0
2020-12-29;AT-3;4;0
2020-12-29;AT-4;1;41
2020-12-29;AT-4;2;0
2020-12-29;AT-4;3;0
2020-12-29;AT-4;4;0
2020-12-29;AT-5;1;4
2020-12-29;AT-5;2;0
2020-12-29;AT-5;3;0
2020-12-29;AT-5;4;0
2020-12-29;AT-6;1;37
2020-12-29;AT-6;2;0
2020-12-29;AT-6;3;0
2020-12-29;AT-6;4;0
2020-12-29;AT-7;1;1
2020-12-29;AT-7;2;0
2020-12-29;AT-7;3;0
2020-12-29;AT-7;4;0
2020-12-29;AT-8;1;2
2020-12-29;AT-8;2;0
2020-12-29;AT-8;3;0
2020-12-29;AT-8;4;0
2020-12-29;AT-9;1;689
2020-12-29;AT-9;2;0
2020-12-29;AT-9;3;0
2020-12-29;AT-9;4;0
2020-12-30;AT-1;1;9
2020-12-30;AT-1;2;0
2020-12-30;AT-1;3;0
2020-12-30;AT-1;4;0
2020-12-30;AT-2;1;3
2020-12-30;AT-2;2;0
2020-12-30;AT-2;3;0
2020-12-30;AT-2;4;0
2020-12-30;AT-3;1;570
2020-12-30;AT-3;2;0
2020-12-30;AT-3;3;0
2020-12-30;AT-3;4;0
2020-12-30;AT-4;1;13
2020-12-30;AT-4;2;0
2020-12-30;AT-4;3;0
2020-12-30;AT-4;4;0
2020-12-30;AT-5;1;21
2020-12-30;AT-5;2;0
2020-12-30;AT-5;3;0
2020-12-30;AT-5;4;0
2020-12-30;AT-6;1;8
2020-12-30;AT-6;2;0
2020-12-30;AT-6;3;0
2020-12-30;AT-6;4;0
2020-12-30;AT-7;1;6
2020-12-30;AT-7;2;0
2020-12-30;AT-7;3;0
2020-12-30;AT-7;4;0
2020-12-30;AT-8;1;1
2020-12-30;AT-8;2;0
2020-12-30;AT-8;3;0
2020-12-30;AT-8;4;0
2020-12-30;AT-9;1;771
2020-12-30;AT-9;2;0
2020-12-30;AT-9;3;0
2020-12-30;AT-9;4;0
2020-12-31;AT-1;1;0
2020-12-31;AT-1;2;0
2020-12-31;AT-1;3;0
2020-12-31;AT-1;4;0
2020-12-31;AT-2;1;0
2020-12-31;AT-2;2;0
2020-12-31;AT-2;3;0
2020-12-31;AT-2;4;0
2020-12-31;AT-3;1;8
2020-12-31;AT-3;2;0
2020-12-31;AT-3;3;0
2020-12-31;AT-3;4;0
2020-12-31;AT-4;1;2
2020-12-31;AT-4;2;0
2020-12-31;AT-4;3;0
2020-12-31;AT-4;4;0
2020-12-31;AT-5;1;2
2020-12-31;AT-5;2;0
2020-12-31;AT-5;3;0
2020-12-31;AT-5;4;0
2020-12-31;AT-6;1;0
2020-12-31;AT-6;2;0
2020-12-31;AT-6;3;0
2020-12-31;AT-6;4;0
2020-12-31;AT-7;1;1
2020-12-31;AT-7;2;0
2020-12-31;AT-7;3;0
2020-12-31;AT-7;4;0
2020-12-31;AT-8;1;0
2020-12-31;AT-8;2;0
2020-12-31;AT-8;3;0
2020-12-31;AT-8;4;0
2020-12-31;AT-9;1;6
2020-12-31;AT-9;2;0
2020-12-31;AT-9;3;0
2020-12-31;AT-9;4;0
2021-01-01;AT-1;1;0
2021-01-01;AT-1;2;0
2021-01-01;AT-1;3;0
2021-01-01;AT-1;4;0
2021-01-01;AT-2;1;0
2021-01-01;AT-2;2;0
2021-01-01;AT-2;3;0
2021-01-01;AT-2;4;0
2021-01-01;AT-3;1;2
2021-01-01;AT-3;2;0
2021-01-01;AT-3;3;0
2021-01-01;AT-3;4;0
2021-01-01;AT-4;1;4
2021-01-01;AT-4;2;0
2021-01-01;AT-4;3;0
2021-01-01;AT-4;4;0
2021-01-01;AT-5;1;1
2021-01-01;AT-5;2;0
2021-01-01;AT-5;3;0
2021-01-01;AT-5;4;0
2021-01-01;AT-6;1;3
2021-01-01;AT-6;2;0
2021-01-01;AT-6;3;0
2021-01-01;AT-6;4;0
2021-01-01;AT-7;1;4
2021-01-01;AT-7;2;0
2021-01-01;AT-7;3;0
2021-01-01;AT-7;4;0
2021-01-01;AT-8;1;1
2021-01-01;AT-8;2;0
2021-01-01;AT-8;3;0
2021-01-01;AT-8;4;0
2021-01-01;AT-9;1;2
2021-01-01;AT-9;2;0
2021-01-01;AT-9;3;0
2021-01-01;AT-9;4;0
2021-01-02;AT-1;1;0
2021-01-02;AT-1;2;0
2021-01-02;AT-1;3;0
2021-01-02;AT-1;4;0
2021-01-02;AT-2;1;2
2021-01-02;AT-2;2;0
2021-01-02;AT-2;3;0
2021-01-02;AT-2;4;0
2021-01-02;AT-3;1;3
2021-01-02;AT-3;2;0
2021-01-02;AT-3;3;0
2021-01-02;AT-3;4;0
2021-01-02;AT-4;1;3
2021-01-02;AT-4;2;0
2021-01-02;AT-4;3;0
2021-01-02;AT-4;4;0
2021-01-02;AT-5;1;4
2021-01-02;AT-5;2;0
2021-01-02;AT-5;3;0
2021-01-02;AT-5;4;0
2021-01-02;AT-6;1;2
2021-01-02;AT-6;2;0
2021-01-02;AT-6;3;0
2021-01-02;AT-6;4;0
2021-01-02;AT-7;1;8
2021-01-02;AT-7;2;0
2021-01-02;AT-7;3;0
2021-01-02;AT-7;4;0
2021-01-02;AT-8;1;1
2021-01-02;AT-8;2;0
2021-01-02;AT-8;3;0
2021-01-02;AT-8;4;0
2021-01-02;AT-9;1;5
2021-01-02;AT-9;2;0
2021-01-02;AT-9;3;0
2021-01-02;AT-9;4;0
2021-01-03;AT-1;1;0
2021-01-03;AT-1;2;0
2021-01-03;AT-1;3;0
2021-01-03;AT-1;4;0
2021-01-03;AT-2;1;3
2021-01-03;AT-2;2;0
2021-01-03;AT-2;3;0
2021-01-03;AT-2;4;0
2021-01-03;AT-3;1;4
2021-01-03;AT-3;2;0
2021-01-03;AT-3;3;0
2021-01-03;AT-3;4;0
2021-01-03;AT-4;1;1
2021-01-03;AT-4;2;0
2021-01-03;AT-4;3;0
2021-01-03;AT-4;4;0
2021-01-03;AT-5;1;0
2021-01-03;AT-5;2;0
2021-01-03;AT-5;3;0
2021-01-03;AT-5;4;0
2021-01-03;AT-6;1;0
2021-01-03;AT-6;2;0
2021-01-03;AT-6;3;0
2021-01-03;AT-6;4;0
2021-01-03;AT-7;1;3
2021-01-03;AT-7;2;0
2021-01-03;AT-7;3;0
2021-01-03;AT-7;4;0
2021-01-03;AT-8;1;2
2021-01-03;AT-8;2;0
2021-01-03;AT-8;3;0
2021-01-03;AT-8;4;0
2021-01-03;AT-9;1;6
2021-01-03;AT-9;2;0
2021-01-03;AT-9;3;0
2021-01-03;AT-9;4;0
2021-01-04;AT-1;1;10
2021-01-04;AT-1;2;0
2021-01-04;AT-1;3;0
2021-01-04;AT-1;4;0
2021-01-04;AT-2;1;0
2021-01-04;AT-2;2;0
2021-01-04;AT-2;3;0
2021-01-04;AT-2;4;0
2021-01-04;AT-3;1;5
2021-01-04;AT-3;2;0
2021-01-04;AT-3;3;0
2021-01-04;AT-3;4;0
2021-01-04;AT-4;1;62
2021-01-04;AT-4;2;0
2021-01-04;AT-4;3;0
2021-01-04;AT-4;4;0
2021-01-04;AT-5;1;50
2021-01-04;AT-5;2;0
2021-01-04;AT-5;3;0
2021-01-04;AT-5;4;0
2021-01-04;AT-6;1;2
2021-01-04;AT-6;2;0
2021-01-04;AT-6;3;0
2021-01-04;AT-6;4;0
2021-01-04;AT-7;1;5
2021-01-04;AT-7;2;0
2021-01-04;AT-7;3;0
2021-01-04;AT-7;4;0
2021-01-04;AT-8;1;2
2021-01-04;AT-8;2;0
2021-01-04;AT-8;3;0
2021-01-04;AT-8;4;0
2021-01-04;AT-9;1;13
2021-01-04;AT-9;2;0
2021-01-04;AT-9;3;0
2021-01-04;AT-9;4;0
2021-01-05;AT-1;1;10
2021-01-05;AT-1;2;0
2021-01-05;AT-1;3;0
2021-01-05;AT-1;4;0
2021-01-05;AT-2;1;364
2021-01-05;AT-2;2;0
2021-01-05;AT-2;3;0
2021-01-05;AT-2;4;0
2021-01-05;AT-3;1;137
2021-01-05;AT-3;2;0
2021-01-05;AT-3;3;0
2021-01-05;AT-3;4;0
2021-01-05;AT-4;1;379
2021-01-05;AT-4;2;0
2021-01-05;AT-4;3;0
2021-01-05;AT-4;4;0
2021-01-05;AT-5;1;136
2021-01-05;AT-5;2;0
2021-01-05;AT-5;3;0
2021-01-05;AT-5;4;0
2021-01-05;AT-6;1;6
2021-01-05;AT-6;2;0
2021-01-05;AT-6;3;0
2021-01-05;AT-6;4;0
2021-01-05;AT-7;1;386
2021-01-05;AT-7;2;0
2021-01-05;AT-7;3;0
2021-01-05;AT-7;4;0
2021-01-05;AT-8;1;385
2021-01-05;AT-8;2;0
2021-01-05;AT-8;3;0
2021-01-05;AT-8;4;0
2021-01-05;AT-9;1;20
2021-01-05;AT-9;2;0
2021-01-05;AT-9;3;0
2021-01-05;AT-9;4;0
2021-01-06;AT-1;1;8
2021-01-06;AT-1;2;0
2021-01-06;AT-1;3;0
2021-01-06;AT-1;4;0
2021-01-06;AT-2;1;1
2021-01-06;AT-2;2;0
2021-01-06;AT-2;3;0
2021-01-06;AT-2;4;0
2021-01-06;AT-3;1;160
2021-01-06;AT-3;2;0
